Accession: AB109990	Species: Cynanchum japonicum
Accession: AB109988	Species: Vincetoxicum calcareum
Accession: AB109987	Species: Vincetoxicum austrokiusianum
Accession: AB109985	Species: Vincetoxicum amplexicaule
Accession: AB109984	Species: Vincetoxicum ambiguum
Accession: LN880573	Species: Vincetoxicum acuminatum
Accession: AJ320475	Species: Vincetoxicum stocksii
Accession: AJ320473	Species: Vincetoxicum carnosum
Accession: MG818132	Species: Vincetoxicum atratum
Accession: FJ362532	Species: Vincetoxicum nigrum
Accession: LN880556	Species: Pentatropis bentii
Accession: LN880559	Species: Pentatropis spiralis
Accession: LN880558	Species: Pentatropis capensis
Accession: AJ320449	Species: Pentatropis nivalis
Accession: AJ320448	Species: Pentatropis madagascariensis
Accession: MG818151	Species: Vincetoxicum taiwanense
Accession: MG818150	Species: Vincetoxicum sui
Accession: MG818133	Species: Cynanchum auriculatum
Accession: AM396869	Species: Xysmalobium tysonianum
Accession: AM396868	Species: Xysmalobium parviflorum
Accession: AM396867	Species: Xysmalobium kaessneri
Accession: AM396866	Species: Xysmalobium involucratum
Accession: AM396865	Species: Xysmalobium heudelotianum
Accession: AM396864	Species: Xysmalobium gerrardii
Accession: AM396863	Species: Xysmalobium fraternum
Accession: AM396870	Species: Xysmalobium undulatum
Accession: AM396862	Species: Woodia mucronata
Accession: KF805104	Species: Pergularia tomentosa
Accession: AM396851	Species: Pergularia daemia
Accession: AM396877	Species: Oxystelma esculentum
Accession: AM396840	Species: Miraglossum verticillare
Accession: AM396876	Species: Margaretta rosea subsp. corallina
Accession: AM396873	Species: Kanahia laniflora
Accession: AM396903	Species: Glossostelma ceciliae
Accession: AM396901	Species: Cordylogyne globosa
Accession: MW836950	Species: Calotropis gigantea
Accession: AM229664	Species: Calciphila gillettii
Accession: AM396898	Species: Aspidonepsis diploglossa
Accession: AM396899	Species: Aspidonepsis flava
Accession: MG818131	Species: Asclepias curassavica
Accession: AM396889	Species: Asclepias longifolia
Accession: AM396888	Species: Asclepias linaria
Accession: AM396886	Species: Asclepias gibba
Accession: AM396885	Species: Asclepias fascicularis
Accession: AM396883	Species: Asclepias cucullata
Accession: AM396882	Species: Asclepias crispa
Accession: AM396880	Species: Asclepias brevipes
Accession: AM396879	Species: Asclepias albens
Accession: AM396890	Species: Asclepias praemorsa
Accession: AM396891	Species: Asclepias stellifera
Accession: AM396893	Species: Asclepias woodii
Accession: KX352745	Species: Asclepias syriaca
Accession: MG217412	Species: Asclepias lanuginosa
Accession: MG218421	Species: Asclepias quadrifolia
Accession: MG217398	Species: Asclepias ovalifolia
Accession: MG218547	Species: Asclepias viridiflora
Accession: MG219355	Species: Asclepias sullivantii
Accession: MG219068	Species: Asclepias speciosa
Accession: MG217685	Species: Asclepias purpurascens
Accession: MG217707	Species: Asclepias hirtella
Accession: AM396895	Species: Aspidoglossum delagoense
Accession: AM396894	Species: Aspidoglossum connatum
Accession: AM396897	Species: Aspidoglossum heterophyllum
Accession: AM396902	Species: Fanninia caloglossa
Accession: AM396907	Species: Gomphocarpus glaucophyllus
Accession: AM396872	Species: Gomphocarpus tomentosus
Accession: AM396904	Species: Gomphocarpus abyssinicus
Accession: AM396905	Species: Gomphocarpus cancellatus
Accession: GQ465764	Species: Gomphocarpus physocarpus
Accession: AM396850	Species: Pachycarpus reflectens
Accession: AM396849	Species: Pachycarpus natalensis
Accession: AM396848	Species: Pachycarpus lineolatus
Accession: AM396846	Species: Pachycarpus goetzei
Accession: AM396845	Species: Pachycarpus dealbatus
Accession: AM396844	Species: Pachycarpus coronarius
Accession: AM396843	Species: Pachycarpus concolor
Accession: AM396842	Species: Pachycarpus asperifolius
Accession: AM396841	Species: Pachycarpus appendiculatus
Accession: AM396855	Species: Schizoglossum filiforme
Accession: AM396854	Species: Schizoglossum eustegioides
Accession: AM396853	Species: Schizoglossum cordifolium
Accession: AM396852	Species: Schizoglossum atropurpureum
Accession: AM396878	Species: Solenostemma argel
Accession: AM396858	Species: Stathmostelma verdickii
Accession: AM396857	Species: Stathmostelma pauciflorum
Accession: AM396856	Species: Stathmostelma diversifolium
Accession: AM396859	Species: Stenostelma corniculatum
Accession: AM396861	Species: Trachycalymma foliosum
Accession: AM396860	Species: Trachycalymma buchwaldii
Accession: LN896993	Species: Metalepis peraffinis
Accession: AJ492808	Species: Metalepis albiflora
Accession: JN805933	Species: Macroditassa melantha
Accession: JN805931	Species: Ditassa grandiflora
Accession: AM396875	Species: Lagarinthus multicaulis
Accession: KX689284	Species: Cynanchum staubii
Accession: AY548207	Species: Cynanchum wilfordii
Accession: MH547507	Species: Cynanchum radians
Accession: GU197382	Species: Holostemma ada-kodien
Accession: MG818136	Species: Cynanchum mooreanum
Accession: MG818135	Species: Cynanchum lanhsuense
Accession: LN896972	Species: Cynanchum ledermannii
Accession: MW019648	Species: Cynanchum annularium
Accession: LN896989	Species: Cynanchum wallichii
Accession: LN896984	Species: Cynanchum taiwanianum
Accession: LN896982	Species: Cynanchum sinoracemosum
Accession: LN896980	Species: Cynanchum purpureum
Accession: LN896979	Species: Cynanchum physocarpum
Accession: LN896978	Species: Cynanchum officinale
Accession: LN896975	Species: Cynanchum membranaceum
Accession: LN896974	Species: Cynanchum lysimachioides
Accession: LN896970	Species: Cynanchum giraldii
Accession: MG818134	Species: Cynanchum formosanum
Accession: LN896967	Species: Cynanchum dalhousiae
Accession: LN896966	Species: Cynanchum corymbosum
Accession: LN896963	Species: Cynanchum blyttioides
Accession: LN896961	Species: Cynanchum arabicum
Accession: LN896960	Species: Cynanchum antsiranense
Accession: LN896959	Species: Cynanchum analamazaotrense
Accession: KP279413	Species: Cynanchum daltonii
Accession: MG870094	Species: Cynanchum pulchellum
Accession: GU951533	Species: Cynanchum chinense
Accession: GU198970	Species: Cynanchum bungei
Accession: MW301676	Species: Cynanchum acidum
Accession: LN896985	Species: Cynanchum tunicatum
Accession: LN896964	Species: Cynanchum callialatum
Accession: MT106631	Species: Cynanchum graphistemmatoides
Accession: AB109973	Species: Cynanchum caudatum
Accession: AB109972	Species: Cynanchum boudieri
Accession: AJ492798	Species: Cynanchum sigridiae
Accession: AJ492796	Species: Cynanchum schistoglossum
Accession: AJ492788	Species: Cynanchum radiatum
Accession: AJ492774	Species: Cynanchum moramangense
Accession: AJ492769	Species: Cynanchum marnieranum
Accession: AJ492762	Species: Cynanchum juliani-marnieri
Accession: AJ492761	Species: Cynanchum itremense
Accession: AJ492759	Species: Cynanchum hardyi
Accession: AJ492755	Species: Cynanchum folotsioides
Accession: AJ492747	Species: Cynanchum crassipedicellatum
Accession: AJ492732	Species: Cynanchum appendiculatopsis
Accession: AJ492776	Species: Cynanchum obovatum
Accession: AJ492802	Species: Cynanchum toliari
Accession: AJ492799	Species: Cynanchum thesioides
Accession: AJ492797	Species: Cynanchum sessiliflorum
Accession: AJ492795	Species: Cynanchum rungweense
Accession: AJ492794	Species: Cynanchum rubricoronae
Accession: AJ492793	Species: Cynanchum roulinioides
Accession: AJ492792	Species: Cynanchum rossii
Accession: AJ492791	Species: Cynanchum repandum
Accession: AJ492789	Species: Cynanchum rauhianum
Accession: AJ492787	Species: Cynanchum pycnoneuroides
Accession: AJ492786	Species: Cynanchum praecox
Accession: AJ492785	Species: Cynanchum polyanthum
Accession: AJ492784	Species: Cynanchum phillipsonianum
Accession: AJ492783	Species: Cynanchum perrieri
Accession: AJ492782	Species: Cynanchum papillatum
Accession: AJ492781	Species: Cynanchum pachycladon
Accession: AJ492780	Species: Cynanchum ovalifolium
Accession: AJ492778	Species: Cynanchum orangeanum
Accession: AJ492777	Species: Cynanchum obtusifolium
Accession: AJ492775	Species: Cynanchum natalitium
Accession: AJ492772	Species: Cynanchum meyeri
Accession: AJ492771	Species: Cynanchum mevei
Accession: AJ492770	Species: Cynanchum messeri
Accession: AJ492768	Species: Cynanchum mahafalense
Accession: AJ492767	Species: Cynanchum madagascariense
Accession: AJ492766	Species: Cynanchum longipes
Accession: LN896973	Species: Cynanchum ligulatum
Accession: DQ005968	Species: Cynanchum laeve
Accession: AJ492760	Species: Cynanchum implicatum
Accession: AJ492757	Species: Cynanchum gerrardii
Accession: LN901557	Species: Cynanchum foetidum
Accession: AJ492754	Species: Cynanchum floribundum
Accession: AJ492752	Species: Cynanchum falcatum
Accession: AJ492751	Species: Cynanchum erythranthum
Accession: AJ492750	Species: Cynanchum descoingsii
Accession: AJ492749	Species: Cynanchum danguyanum
Accession: AJ492748	Species: Cynanchum cucullatum
Accession: AJ492746	Species: Cynanchum crassiantherae
Accession: AJ492744	Species: Cynanchum comorense
